NPA,Violent_Crime_Rate_2015,Violent_Crimes_2015,Property_Crime_Rate_2015,Property_Crimes_2015,Disorder_Call_Rate_2015,Disorder_Calls_2015,Animal_Control_Call_Rate_2015,Animal_Control_Calls_2015,Fire_Call_Rate_2015,Fire_Calls_2015,Nuisance_Violations_2015,Nuisance_Violations_Total_2015,311_Requests_2015,311_Calls_2015,Voter_Participation_2015,Voters_Participating_2015,Neighborhood_Organizations_2015,Population_Density_2015,Population _2015,Age_of_Residents_2015,Age_of_Residents_moe_2015,Youth_Population_2015,Youth_Population_moe_2015,Older_Adult_Population_2015,Older_Adult_Population_moe_2015,Vacant_Land_2015,Vacant_Land_Area_2015,Household_Income_2015,Household_Income_moe_2015,Public_Nutrition_Assistance_2015,Employment_Rate_2015,Employment_Rate_moe_2015,Job_Density_2015,Jobs_2015,Commercial_Construction_2015,Commercial_Construction_Permitted_Units_2015,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Building_Age_2015,Fincancial_Services_Proximity_2015,Financial_Services_Proximate_Units_2015,Bachelors_Degree_2015,Bachelors_Degree_moe_2015,High_School_Diploma_2015,High_School_Diploma_moe_2015,Early_Care_Proximity_2015,Early_Care_Proximate_Units_2015,SchoolAge_Proximity_2015,SchoolAge_Proximate_Units_2015,Library_Card_Prevalence_2015,Library_Card_Holders_2015,Proficiency_Elementary_School_2015,Proficiency_Middle_School_2015,Proficiency_High_School_2015,Highschool_Graduation_Rate_2015,Student_Absenteeism_2015,Neighborhood_School_Attendance_2015,Grocery_Proximity_2015,Grocery_Proximate_Units_2015,Pharmacy_Proximity_2015,Pharmacy_Proximate_Units_2015,Park_Proximity_2015,Park_Proximate_Units_2015,Public_Health_Insurance _2015,Impervious_Surface_2015,Impervious_Surface_Area_2015,Adopt_a_Stream_2015,Adopt_a_Stream_Length_2015,Commuters_Driving_Alone_2015,Commuters_Driving_Alone_moe_2015,Housing_Density_2015,Housing_Units_2015,Single_Family_Housing_2015,Single_Family_Units_2015,Housing_Size_2015,Housing_Age_2015,Rental_Houses_2015,Rental_Houses_Units_2015,New_Residential_2015,New_Residential_Permit_Units_2015,Residential_Renovation_2015,Residential_Renovation_Permit_Units_2015,Foreclosures_2015,Foreclosed_Units_2015,Home_Sales_Price_2015,Housing_Violations_2015,Housing_Violations_Total_2015,Home_Ownership_2015,Home_Ownership_moe_2015,Bicycle_Friendliness_2015,Street_Connectivity_2015,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Ridership_2015,Transit_Ridership_Total_2015
226,0.0,0.0,31.0,27.0,77.0,67.0,12.6,26.0,31.0,27.0,2.3,11.0,27.7,241.0,19.0,87.0,2.0,8.0,870.0,36.0,11.0,20.0,12.0,5.0,3.0,0.4,0.0,52054.0,18621.0,5.0,95.0,8.0,2.4,271.0,0.0,0.0,2154.0,2154.0,32.0,31.0,148.0,49.0,13.0,96.0,11.0,29.0,139.0,30.0,144.0,17.0,145.0,76.9,53.9,,100.0,9.0,79.0,16.0,77.0,10.0,48.0,54.0,256.0,5.0,20.8,24.0,100.0,0.44,76.0,16.0,4.1,476.0,34.0,164.0,1667.0,58.0,20.0,32.0,0.0,0.0,,14.0,0.0,0.0,224077.0,0.21,1.0,57.0,,1.5,1.11,100.0,476.0,14.0,42.0
227,2.0,5.0,22.0,56.0,71.1,181.0,39.0,83.0,17.7,45.0,13.8,116.0,23.5,598.0,14.0,185.0,2.0,4.0,2546.0,36.0,7.0,29.0,8.0,4.0,2.0,12.3,73.0,60406.0,23797.0,17.0,92.0,7.0,0.2,109.0,0.17,1.0,5685.0,11370.0,27.0,0.0,0.0,41.0,13.0,95.0,14.0,100.0,840.0,100.0,840.0,18.0,454.0,49.0,30.8,45.8,87.0,10.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,9.4,56.0,0.0,0.0,94.0,3.0,1.4,840.0,100.0,840.0,1704.0,20.0,21.0,180.0,0.0,0.0,0.51,3.0,3.0,,120240.0,0.95,8.0,82.0,15.0,1.2,1.04,45.0,382.0,0.0,0.0
228,5.5,3.0,29.4,16.0,67.9,37.0,22.0,20.0,16.5,9.0,0.6,1.0,1.7,9.0,3.0,10.0,1.0,1.0,545.0,32.0,4.0,38.0,5.0,1.0,3.0,,,54500.0,6957.0,17.0,78.0,,0.1,65.0,0.0,0.0,4341.0,30389.0,44.0,0.0,0.0,31.0,13.0,98.0,12.0,12.0,22.0,13.0,23.0,22.0,120.0,50.0,48.0,40.0,100.0,13.0,77.0,0.0,0.0,0.0,0.0,29.0,52.0,22.0,2.4,20.0,0.0,0.0,96.0,1.0,0.2,181.0,100.0,181.0,2364.0,15.0,22.0,40.0,0.0,0.0,0.12,1.0,2.8,5.0,142955.0,0.0,0.0,95.0,6.0,1.5,1.28,0.0,0.0,,
229,9.3,20.0,44.7,96.0,155.4,334.0,89.0,189.0,27.5,59.0,13.1,101.0,56.8,1220.0,11.0,170.0,2.0,2.0,2149.0,39.0,11.0,27.0,6.0,9.0,4.0,29.3,,42649.0,19975.0,45.0,96.0,5.0,0.1,153.0,0.0,0.0,5248.0,36736.0,31.0,2.0,19.0,15.0,7.0,81.0,8.0,66.0,509.0,55.0,423.0,26.0,561.0,44.6,25.0,47.6,87.0,13.0,82.0,6.0,49.0,8.0,63.0,16.0,125.0,50.0,7.3,98.0,0.0,0.0,78.0,10.0,0.6,770.0,100.0,770.0,1930.0,21.0,19.0,149.0,,,0.74,10.0,1.8,14.0,157235.0,0.78,6.0,72.0,16.0,1.2,1.19,18.0,136.0,0.0,0.0
230,2.0,5.0,19.6,48.0,47.0,115.0,39.1,92.0,16.8,41.0,24.6,,15.2,373.0,9.0,62.0,0.0,9.0,2447.0,29.0,3.0,16.0,10.0,3.0,2.0,17.6,49.0,48994.0,15107.0,13.0,90.0,9.0,0.4,101.0,0.36,1.0,13084.0,104668.0,21.0,50.0,620.0,62.0,8.0,80.0,9.0,99.0,1216.0,99.0,1216.0,12.0,289.0,17.5,13.6,10.0,,16.0,74.0,0.0,0.0,0.0,0.0,100.0,1234.0,14.0,16.2,45.0,0.0,0.0,71.0,8.0,4.4,1234.0,18.0,224.0,1007.0,48.0,,130.0,0.0,0.0,1.44,4.0,2.7,6.0,49143.0,0.65,8.0,4.0,3.0,1.6,1.28,100.0,1234.0,17.0,168.0
231,1.8,5.0,31.7,88.0,63.4,176.0,19.3,85.0,19.8,55.0,0.6,6.0,20.0,554.0,16.0,197.0,3.0,2.0,2775.0,37.0,5.0,28.0,7.0,12.0,5.0,12.5,153.0,73036.0,25222.0,7.0,92.0,4.0,0.7,815.0,1.15,14.0,21300.0,170398.0,10.0,0.0,0.0,37.0,7.0,95.0,9.0,21.0,231.0,21.0,232.0,14.0,383.0,51.6,37.1,65.0,96.0,4.0,93.0,58.0,640.0,58.0,640.0,43.0,471.0,9.0,9.1,111.0,0.0,0.0,93.0,7.0,0.9,1097.0,50.0,548.0,1998.0,19.0,20.0,112.0,1.23,15.0,0.25,3.0,0.7,5.0,147160.0,0.09,1.0,79.0,12.0,1.3,1.18,45.0,495.0,99.0,99.0
232,0.8,2.0,16.8,43.0,43.4,111.0,38.6,74.0,20.3,52.0,21.4,201.0,37.0,946.0,11.0,141.0,1.0,5.0,2557.0,35.0,2.0,29.0,8.0,6.0,4.0,18.6,87.0,60087.0,8244.0,14.0,97.0,3.0,0.4,181.0,0.85,4.0,16307.0,114151.0,14.0,27.0,257.0,47.0,6.0,86.0,7.0,81.0,763.0,79.0,739.0,18.0,448.0,50.0,37.3,20.0,96.0,8.0,84.0,49.0,464.0,44.0,415.0,0.0,0.0,17.0,13.9,65.0,,,92.0,11.0,2.0,940.0,93.0,871.0,1717.0,15.0,22.0,195.0,,,0.64,3.0,2.8,,144482.0,0.11,1.0,85.0,8.0,1.5,1.14,44.0,412.0,3.0,3.0
233,1.2,3.0,10.6,27.0,39.9,102.0,20.8,52.0,38.7,99.0,2.0,22.0,16.7,427.0,24.0,299.0,1.0,4.0,2556.0,34.0,5.0,23.0,5.0,10.0,3.0,5.3,35.0,77208.0,15657.0,3.0,96.0,2.0,2.4,1613.0,3.78,,41743.0,1001833.0,9.0,50.0,568.0,60.0,9.0,97.0,9.0,75.0,844.0,82.0,922.0,19.0,483.0,66.7,81.8,88.9,92.0,6.0,92.0,60.0,673.0,0.0,0.0,97.0,1095.0,6.0,18.0,119.0,62.85,3.63,85.0,8.0,1.7,1126.0,50.0,558.0,2562.0,23.0,5.0,29.0,0.15,1.0,1.06,7.0,0.5,3.0,292185.0,0.0,0.0,46.0,6.0,1.4,1.2,73.0,823.0,14.0,58.0
234,8.4,22.0,51.5,135.0,204.3,536.0,71.3,138.0,29.0,76.0,9.9,91.0,46.1,1209.0,19.0,342.0,,2.0,2624.0,35.0,4.0,29.0,5.0,10.0,2.0,29.9,,53438.0,21730.0,43.0,92.0,7.0,0.7,869.0,0.46,6.0,14264.0,770234.0,33.0,16.0,151.0,22.0,5.0,74.0,8.0,60.0,552.0,60.0,552.0,25.0,652.0,27.1,29.4,33.3,81.0,7.0,74.0,0.0,0.0,0.0,0.0,4.0,33.0,44.0,11.7,152.0,0.0,0.0,78.0,6.0,0.7,920.0,100.0,920.0,1832.0,32.0,20.0,181.0,0.0,0.0,0.85,11.0,1.4,13.0,143900.0,1.09,10.0,78.0,6.0,1.5,1.14,51.0,473.0,95.0,665.0
235,1.0,2.0,11.6,24.0,39.8,82.0,13.6,41.0,26.2,54.0,4.4,40.0,33.1,683.0,33.0,434.0,1.0,4.0,2061.0,40.0,4.0,23.0,7.0,14.0,5.0,2.4,12.0,80167.0,11989.0,2.0,86.0,10.0,0.4,206.0,0.0,0.0,6453.0,19358.0,32.0,24.0,217.0,74.0,9.0,100.0,10.0,81.0,731.0,96.0,867.0,21.0,439.0,69.2,71.4,,92.0,4.0,72.0,0.0,0.0,29.0,263.0,65.0,585.0,3.0,17.3,85.0,36.24,0.89,96.0,6.0,1.8,906.0,80.0,728.0,2192.0,46.0,9.0,69.0,1.42,7.0,7.12,35.0,0.3,2.0,312842.0,0.22,2.0,74.0,9.0,1.4,1.14,78.0,705.0,4.0,21.0
236,0.9,1.0,10.4,11.0,42.5,45.0,24.4,19.0,64.2,68.0,0.7,3.0,24.5,260.0,34.0,357.0,1.0,1.0,1060.0,52.0,5.0,24.0,6.0,,5.0,7.9,57.0,121406.0,32020.0,1.0,96.0,8.0,0.9,641.0,0.7,5.0,,818888.0,18.0,6.0,25.0,80.0,9.0,98.0,7.0,0.0,0.0,73.0,331.0,17.0,184.0,92.9,90.0,,100.0,5.0,73.0,22.0,101.0,23.0,102.0,75.0,336.0,1.0,16.3,117.0,52.6,1.9,89.0,10.0,0.6,451.0,100.0,451.0,,20.0,8.0,37.0,0.56,4.0,3.76,27.0,0.5,2.0,,0.22,1.0,64.0,5.0,1.3,1.08,55.0,246.0,33.0,99.0
237,7.4,20.0,37.1,101.0,108.1,294.0,61.1,,28.7,78.0,16.7,166.0,42.2,1147.0,13.0,185.0,0.0,3.0,2721.0,35.0,6.0,25.0,7.0,10.0,3.0,14.8,142.0,34344.0,11176.0,32.0,81.0,9.0,0.4,358.0,0.31,3.0,3822.0,68799.0,41.0,22.0,218.0,15.0,6.0,77.0,10.0,74.0,738.0,73.0,723.0,17.0,451.0,43.1,25.0,33.3,88.0,14.0,73.0,0.0,0.0,0.0,0.0,41.0,410.0,31.0,8.9,85.0,0.0,0.0,92.0,10.0,1.0,995.0,92.0,911.0,1435.0,30.0,33.0,297.0,,,1.57,15.0,2.8,,108323.0,1.11,11.0,48.0,8.0,1.6,1.17,71.0,710.0,21.0,234.0
238,5.9,14.0,34.0,81.0,128.9,307.0,60.4,142.0,29.0,69.0,20.6,182.0,45.0,1072.0,18.0,217.0,,4.0,2381.0,34.0,9.0,28.0,11.0,6.0,2.0,8.3,46.0,44236.0,14115.0,31.0,92.0,5.0,0.4,209.0,0.0,0.0,27793.0,722622.0,39.0,49.0,432.0,23.0,8.0,86.0,7.0,92.0,810.0,90.0,796.0,20.0,470.0,38.6,22.4,14.3,88.0,15.0,69.0,54.0,475.0,46.0,408.0,55.0,482.0,31.0,15.5,85.0,,,89.0,5.0,1.6,882.0,96.0,843.0,1440.0,36.0,29.0,242.0,0.0,0.0,1.45,8.0,2.6,,88696.0,1.36,12.0,68.0,9.0,1.5,1.16,75.0,665.0,,
240,6.1,10.0,,,219.0,359.0,57.7,128.0,34.2,56.0,19.0,169.0,38.0,623.0,19.0,157.0,2.0,4.0,1639.0,39.0,5.0,15.0,6.0,12.0,4.0,10.5,41.0,45795.0,13269.0,17.0,84.0,3.0,1.6,620.0,1.02,4.0,16446.0,509831.0,54.0,2.0,18.0,36.0,9.0,98.0,13.0,88.0,781.0,88.0,781.0,20.0,332.0,59.1,43.8,37.5,86.0,19.0,66.0,81.0,723.0,100.0,888.0,62.0,550.0,19.0,22.2,87.0,0.0,0.0,90.0,3.0,2.3,888.0,64.0,565.0,1201.0,60.0,36.0,201.0,0.26,1.0,2.04,8.0,0.2,1.0,153393.0,0.79,7.0,32.0,9.0,1.5,1.21,100.0,888.0,,1047.0
241,0.5,1.0,9.4,18.0,27.2,52.0,15.7,32.0,24.6,47.0,0.8,6.0,30.0,574.0,34.0,508.0,2.0,3.0,1914.0,48.0,10.0,25.0,7.0,16.0,,3.4,19.0,,24225.0,1.0,96.0,7.0,0.4,250.0,0.0,0.0,18677.0,56032.0,19.0,0.0,0.0,76.0,12.0,95.0,13.0,0.0,0.0,0.0,0.0,23.0,440.0,86.1,80.0,77.8,100.0,4.0,89.0,0.0,0.0,0.0,0.0,63.0,462.0,1.0,17.4,99.0,81.69,3.2,91.0,11.0,1.3,738.0,85.0,627.0,3458.0,27.0,6.0,35.0,0.53,3.0,6.5,37.0,0.3,2.0,,0.0,0.0,98.0,2.0,1.5,1.09,54.0,401.0,0.0,0.0
242,0.6,1.0,16.6,27.0,54.6,89.0,22.9,35.0,17.8,29.0,15.5,77.0,27.1,442.0,9.0,82.0,1.0,6.0,1630.0,27.0,9.0,30.0,8.0,6.0,4.0,18.6,52.0,59453.0,10342.0,17.0,92.0,1.0,0.0,4.0,0.0,0.0,9734.0,19468.0,23.0,0.0,0.0,30.0,11.0,88.0,11.0,100.0,497.0,100.0,497.0,19.0,303.0,58.3,26.1,36.8,80.0,11.0,71.0,0.0,0.0,0.0,0.0,64.0,317.0,21.0,11.1,31.0,100.0,2.42,78.0,11.0,1.8,497.0,100.0,497.0,1987.0,13.0,20.0,99.0,2.15,6.0,1.07,3.0,3.2,16.0,132780.0,0.6,3.0,98.0,6.0,1.7,1.14,0.0,0.0,,
243,0.0,0.0,16.1,2.0,72.6,9.0,48.4,12.0,16.1,2.0,2.2,1.0,22.6,28.0,16.0,11.0,0.0,0.0,124.0,,0.0,,,,,,,,,15.0,100.0,0.0,0.0,2.0,0.18,1.0,990.0,990.0,30.0,0.0,0.0,0.0,,73.0,,30.0,14.0,30.0,14.0,,9.0,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.9,5.0,26.16,0.63,100.0,0.0,0.1,46.0,100.0,46.0,1981.0,45.0,26.0,12.0,0.18,1.0,0.0,0.0,2.2,1.0,,0.0,0.0,100.0,0.0,,1.14,4.0,2.0,,
244,1.0,2.0,10.9,21.0,54.5,105.0,46.1,80.0,14.0,27.0,20.9,145.0,35.5,684.0,21.0,248.0,1.0,3.0,1927.0,40.0,4.0,25.0,6.0,8.0,3.0,27.0,187.0,53869.0,7183.0,16.0,91.0,6.0,0.0,22.0,0.0,0.0,,,,0.0,0.0,25.0,8.0,86.0,11.0,71.0,495.0,74.0,512.0,21.0,403.0,47.2,24.7,11.8,96.0,10.0,75.0,0.0,0.0,0.0,0.0,10.0,69.0,18.0,7.1,49.0,56.59,2.49,84.0,5.0,1.0,693.0,100.0,693.0,1688.0,25.0,18.0,124.0,0.0,0.0,0.86,6.0,1.3,9.0,132219.0,0.43,3.0,75.0,9.0,1.4,1.05,9.0,60.0,,
245,9.8,14.0,30.8,44.0,194.0,277.0,39.0,36.0,25.9,37.0,11.0,71.0,23.7,338.0,16.0,102.0,1.0,8.0,1428.0,40.0,,12.0,10.0,8.0,,3.0,5.0,28844.0,16636.0,32.0,89.0,7.0,0.6,97.0,0.0,0.0,4422.0,66328.0,41.0,93.0,599.0,20.0,12.0,90.0,,62.0,401.0,52.0,334.0,,501.0,38.5,30.0,20.0,88.0,19.0,80.0,0.0,0.0,0.0,0.0,99.0,637.0,34.0,21.0,37.0,,,82.0,16.0,3.7,646.0,35.0,223.0,1628.0,43.0,26.0,59.0,0.0,0.0,2.27,4.0,1.0,2.0,136111.0,0.31,2.0,24.0,14.0,1.3,1.18,100.0,646.0,106.0,532.0
246,2.9,7.0,33.6,80.0,196.9,469.0,28.4,120.0,28.1,67.0,3.7,44.0,21.2,506.0,15.0,160.0,2.0,8.0,2382.0,31.0,9.0,38.0,11.0,6.0,3.0,3.3,9.0,32105.0,9640.0,26.0,90.0,9.0,2.6,737.0,0.7,2.0,14114.0,268160.0,23.0,35.0,423.0,42.0,15.0,92.0,17.0,100.0,1202.0,100.0,1203.0,27.0,637.0,31.1,16.7,38.5,80.0,9.0,80.0,17.0,209.0,55.0,668.0,100.0,1201.0,28.0,30.9,88.0,,,68.0,13.0,4.2,1206.0,12.0,150.0,2038.0,43.0,21.0,32.0,0.0,0.0,1.41,4.0,1.4,9.0,107423.0,1.49,18.0,35.0,8.0,1.5,1.2,100.0,1206.0,60.0,664.0
247,8.7,10.0,62.1,71.0,,496.0,11.3,34.0,32.3,37.0,1.1,5.0,12.5,143.0,4.0,13.0,0.0,9.0,1144.0,39.0,5.0,9.0,11.0,1.0,3.0,21.2,28.0,31250.0,18945.0,40.0,92.0,8.0,5.1,662.0,0.0,0.0,36956.0,480427.0,27.0,92.0,415.0,17.0,17.0,,16.0,100.0,453.0,100.0,453.0,15.0,166.0,25.0,18.2,20.0,,16.0,75.0,100.0,453.0,79.0,360.0,0.0,0.0,40.0,34.4,45.0,,,55.0,16.0,3.5,453.0,3.0,13.0,1528.0,46.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.88,4.0,3.0,5.0,1.3,1.21,100.0,453.0,42.0,292.0
248,7.2,13.0,27.1,49.0,158.4,286.0,38.6,68.0,21.0,38.0,2.4,20.0,10.2,184.0,5.0,25.0,0.0,,1806.0,29.0,3.0,24.0,8.0,2.0,2.0,4.1,7.0,28750.0,13375.0,26.0,93.0,6.0,1.7,278.0,4.33,7.0,9627.0,202172.0,38.0,37.0,306.0,9.0,7.0,76.0,16.0,5.0,42.0,100.0,836.0,24.0,434.0,24.5,17.1,44.4,90.0,9.0,83.0,0.0,0.0,72.0,602.0,100.0,836.0,22.0,27.2,44.0,0.0,0.0,,15.0,,836.0,1.0,8.0,1056.0,33.0,38.0,3.0,0.0,0.0,0.0,0.0,,,,1.79,15.0,0.0,1.0,1.4,1.15,100.0,836.0,142.0,711.0
249,,,57.1,95.0,238.4,397.0,24.0,34.0,23.4,39.0,4.5,24.0,11.7,194.0,11.0,33.0,0.0,,1665.0,28.0,4.0,37.0,8.0,2.0,3.0,0.0,0.0,22892.0,6375.0,42.0,85.0,7.0,2.6,328.0,0.78,1.0,5188.0,62250.0,33.0,0.0,0.0,2.0,3.0,,19.0,100.0,531.0,100.0,531.0,10.0,167.0,25.0,23.4,33.3,73.0,10.0,81.0,0.0,0.0,100.0,531.0,100.0,531.0,41.0,29.6,38.0,,,,9.0,4.1,531.0,10.0,53.0,1381.0,46.0,42.0,22.0,0.0,0.0,4.68,6.0,0.0,0.0,,1.32,7.0,3.0,4.0,1.5,1.05,100.0,531.0,11.0,107.0
250,1.2,2.0,8.1,14.0,41.9,72.0,34.3,34.0,14.0,24.0,4.3,29.0,17.9,308.0,13.0,116.0,2.0,5.0,1719.0,31.0,7.0,23.0,8.0,3.0,4.0,17.6,57.0,52722.0,7322.0,9.0,89.0,5.0,0.1,21.0,0.0,0.0,2714.0,5428.0,11.0,0.0,0.0,39.0,11.0,96.0,9.0,49.0,328.0,49.0,328.0,15.0,252.0,53.4,38.2,25.0,95.0,10.0,75.0,26.0,178.0,26.0,178.0,0.0,0.0,12.0,11.7,38.0,0.0,0.0,88.0,7.0,2.1,674.0,47.0,318.0,2266.0,17.0,19.0,61.0,0.0,0.0,0.92,3.0,2.5,17.0,127060.0,0.0,0.0,67.0,13.0,1.2,1.02,28.0,191.0,,
251,1.7,3.0,8.3,15.0,32.5,59.0,25.1,64.0,20.4,37.0,7.5,50.0,28.6,519.0,15.0,157.0,1.0,6.0,1815.0,35.0,4.0,33.0,6.0,3.0,3.0,23.4,70.0,72560.0,9180.0,12.0,96.0,7.0,0.2,62.0,0.0,0.0,736.0,736.0,14.0,0.0,0.0,59.0,11.0,100.0,8.0,97.0,647.0,97.0,647.0,17.0,301.0,43.4,42.9,42.1,94.0,4.0,80.0,11.0,75.0,11.0,75.0,39.0,262.0,15.0,14.7,44.0,0.0,0.0,77.0,10.0,2.2,666.0,100.0,666.0,2426.0,13.0,18.0,117.0,1.0,3.0,2.67,8.0,0.8,5.0,204385.0,0.0,0.0,73.0,8.0,1.4,1.09,40.0,266.0,,
252,0.0,0.0,4.8,5.0,36.5,38.0,8.6,14.0,9.6,10.0,10.2,35.0,27.2,283.0,23.0,141.0,1.0,4.0,1041.0,50.0,,15.0,6.0,8.0,5.0,8.1,20.0,70329.0,24933.0,5.0,97.0,6.0,1.0,237.0,0.0,0.0,1611.0,1611.0,52.0,0.0,0.0,47.0,8.0,98.0,4.0,20.0,70.0,20.0,70.0,20.0,207.0,53.8,47.4,71.4,100.0,5.0,79.0,15.0,50.0,9.0,31.0,84.0,288.0,5.0,11.0,27.0,0.0,0.0,86.0,9.0,1.4,343.0,100.0,343.0,2383.0,24.0,12.0,42.0,0.0,0.0,0.81,2.0,0.6,2.0,178797.0,0.87,3.0,90.0,5.0,1.4,1.0,0.0,0.0,,
253,0.5,1.0,7.3,15.0,48.3,99.0,23.4,25.0,22.4,46.0,1.6,14.0,18.6,381.0,21.0,268.0,0.0,3.0,2052.0,39.0,6.0,33.0,8.0,7.0,2.0,0.0,0.0,114659.0,18741.0,2.0,99.0,2.0,,,,,,,10.0,32.0,280.0,62.0,10.0,97.0,15.0,3.0,27.0,12.0,107.0,21.0,426.0,85.5,95.2,91.7,100.0,4.0,89.0,33.0,285.0,33.0,285.0,100.0,865.0,4.0,18.7,121.0,34.79,0.78,81.0,1.0,1.3,866.0,57.0,495.0,2594.0,21.0,8.0,40.0,0.0,0.0,1.7,11.0,0.2,1.0,287530.0,0.0,0.0,68.0,10.0,1.4,1.16,25.0,213.0,74.0,149.0
254,5.5,3.0,,53.0,298.9,162.0,38.2,36.0,,95.0,5.8,19.0,25.3,137.0,6.0,18.0,0.0,0.0,542.0,28.0,4.0,25.0,11.0,6.0,,38.8,,46628.0,19719.0,6.0,100.0,0.0,,,3.39,,,,19.0,91.0,299.0,68.0,,100.0,,92.0,303.0,95.0,312.0,17.0,91.0,40.0,,,,17.0,67.0,90.0,295.0,90.0,295.0,10.0,32.0,10.0,18.1,,11.34,0.56,100.0,0.0,0.2,329.0,15.0,48.0,1420.0,52.0,50.0,24.0,0.0,0.0,0.07,1.0,0.0,0.0,,0.3,1.0,20.0,,1.3,1.23,99.0,326.0,53.0,1016.0
255,0.4,1.0,5.9,17.0,17.6,51.0,26.3,37.0,19.3,56.0,1.3,16.0,20.3,587.0,25.0,424.0,,6.0,2895.0,41.0,5.0,22.0,5.0,16.0,5.0,5.1,24.0,80705.0,24090.0,1.0,91.0,4.0,0.5,236.0,0.42,2.0,19711.0,78844.0,16.0,54.0,671.0,67.0,10.0,96.0,10.0,20.0,252.0,29.0,358.0,20.0,580.0,80.0,83.3,78.6,100.0,2.0,93.0,68.0,839.0,68.0,839.0,29.0,352.0,4.0,22.1,105.0,,,93.0,6.0,2.6,1232.0,47.0,582.0,3207.0,19.0,6.0,35.0,0.0,0.0,4.01,19.0,0.3,3.0,296361.0,0.08,1.0,73.0,6.0,1.3,1.05,63.0,775.0,,
256,0.3,1.0,13.1,40.0,30.5,93.0,22.8,61.0,18.7,57.0,1.5,17.0,2.6,80.0,7.0,128.0,1.0,1.0,3045.0,41.0,4.0,25.0,5.0,15.0,3.0,,,91517.0,12516.0,1.0,89.0,7.0,0.1,215.0,0.12,5.0,6216.0,43513.0,38.0,0.0,0.0,53.0,8.0,86.0,6.0,6.0,72.0,8.0,89.0,13.0,396.0,75.5,60.8,75.0,91.0,4.0,50.0,0.0,0.0,0.0,0.0,2.0,23.0,3.0,3.9,158.0,,,85.0,5.0,0.3,1132.0,100.0,1132.0,3362.0,20.0,20.0,222.0,,,1.34,,0.7,8.0,455729.0,0.0,0.0,81.0,8.0,1.1,1.09,0.0,0.0,,
257,0.3,1.0,13.6,49.0,58.8,212.0,19.5,78.0,15.3,55.0,1.0,15.0,11.1,401.0,10.0,160.0,1.0,3.0,3606.0,33.0,2.0,31.0,8.0,4.0,2.0,3.6,43.0,83077.0,17561.0,4.0,95.0,6.0,1.0,1166.0,0.67,8.0,19223.0,461342.0,7.0,88.0,,61.0,10.0,99.0,11.0,51.0,751.0,94.0,1369.0,17.0,625.0,67.8,70.9,66.7,95.0,6.0,94.0,72.0,,72.0,1058.0,99.0,1449.0,8.0,12.0,144.0,93.94,2.01,100.0,0.0,1.2,1460.0,38.0,561.0,2297.0,12.0,19.0,106.0,0.59,7.0,1.42,17.0,0.9,11.0,214705.0,0.0,0.0,52.0,10.0,1.5,1.27,0.0,0.0,,
258,6.2,19.0,36.2,111.0,117.5,360.0,69.1,175.0,30.0,92.0,16.8,169.0,41.5,1270.0,16.0,233.0,2.0,4.0,3064.0,42.0,7.0,17.0,7.0,9.0,3.0,13.2,109.0,47438.0,9277.0,29.0,87.0,3.0,0.4,323.0,0.0,0.0,5398.0,59373.0,41.0,0.0,0.0,15.0,7.0,71.0,11.0,93.0,939.0,93.0,939.0,16.0,503.0,25.6,26.6,36.8,82.0,13.0,66.0,23.0,237.0,7.0,73.0,38.0,386.0,32.0,10.0,83.0,0.0,0.0,82.0,19.0,1.2,1009.0,100.0,1008.0,1498.0,33.0,28.0,285.0,,,1.81,15.0,1.8,18.0,93804.0,1.49,15.0,55.0,9.0,1.4,1.13,100.0,1009.0,24.0,118.0
259,5.6,14.0,40.5,101.0,115.2,287.0,40.9,70.0,21.3,53.0,19.9,195.0,26.5,660.0,11.0,137.0,2.0,6.0,2492.0,31.0,5.0,32.0,9.0,2.0,2.0,35.3,145.0,46723.0,15373.0,22.0,97.0,8.0,0.3,125.0,0.24,1.0,5224.0,94037.0,44.0,49.0,484.0,29.0,17.0,92.0,17.0,100.0,979.0,96.0,942.0,21.0,517.0,33.3,21.1,24.1,95.0,10.0,62.0,46.0,454.0,57.0,557.0,69.0,681.0,28.0,12.7,52.0,100.0,0.25,80.0,10.0,2.4,981.0,60.0,592.0,1585.0,18.0,28.0,164.0,0.0,0.0,0.24,1.0,2.8,20.0,118932.0,1.73,17.0,67.0,11.0,1.3,1.02,86.0,842.0,38.0,192.0
